"","Techno economic analysis of key species with climate considerations","Plan for changes in markets and consumer preference","Outreach plan and resources","Trade-off analysis models","Climate information","A clear framework for an ecosystem approach to aquaculture in ICES region","data collection for each area on climate variables (OA, temp, salinity, HABs)","relevant  and robust spatial data","Established and agreed upon frameworks for analyses","Paths for public input and engagement","Increase decision-makers awareness of need for adaption","Increase fishing industry awareness of need for adaption","Identify policy drivers/commitments","Raise awareness of need at decision maker level","Identify relevant regional physical, chemical and biological environmental parameters","AI and big data","identify relevant socioeconomic considerations","Marine Spatial Planning","identify what environmental conditions will be and where","helps build synergy with other ocean users - wind/fishing etc","Improve planning for emergency responses","Manages conflict with other users in the same space","Helps political leaders understand what is possible and what is not","Support community-scale transition from wild capture to aquaculture","Diversify opportunities for marine based activities","support multitrophic aquaculture of seaweed with bivalve aquaculture","Increase adaptive management","Livelihood diversification of coastal communities","improves Ecosystem Based Management (integrated and cross sectoral)","helps to strategize/plan/regulate","allows one to identify which species will be appropriate where and for how long into future"
"Techno economic analysis of key species with climate considerations","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
"Plan for changes in markets and consumer preference","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Outreach plan and resources","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
"Trade-off analysis models","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
"Climate information","","","","1","","","","","","","","","","1","1","","","","","","","","","","","","","","","",""
"A clear framework for an ecosystem approach to aquaculture in ICES region","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"data collection for each area on climate variables (OA, temp, salinity, HABs)","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"relevant  and robust spatial data","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","",""
"Established and agreed upon frameworks for analyses","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","",""
"Paths for public input and engagement","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
"Increase decision-makers awareness of need for adaption","","","","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","",""
"Increase fishing industry awareness of need for adaption","","","","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","",""
"Identify policy drivers/commitments","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","",""
"Raise awareness of need at decision maker level","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","",""
"Identify relevant regional physical, chemical and biological environmental parameters","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","",""
"AI and big data","","","","","","","","","","","","","","","1","","1","1","","","","","","","","","","","","",""
"identify relevant socioeconomic considerations","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Marine Spatial Planning","","","","","","","","","","","","","","","","","","","0.1","1","0.1","1","1","1","0.1","","","","","0.1","0.1"
"identify what environmental conditions will be and where","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"helps build synergy with other ocean users - wind/fishing etc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Improve planning for emergency responses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Manages conflict with other users in the same space","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","",""
"Helps political leaders understand what is possible and what is not","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Support community-scale transition from wild capture to aquaculture","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Diversify opportunities for marine based activities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"support multitrophic aquaculture of seaweed with bivalve aquaculture","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Increase adaptive management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Livelihood diversification of coastal communities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"improves Ecosystem Based Management (integrated and cross sectoral)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"helps to strategize/plan/regulate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"allows one to identify which species will be appropriate where and for how long into future","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
