"","Funding and planning","Basic science underpinning all of these approaches (e.g., oceanography, modeling, satellite data processing)","on farms","Bouys","Quantifying and communicating uncertainty and limitations","Uncrewed systems","Space based sensors","Local sensors","Climate impacts","circulation models","Monitoring programs","Remote sensing","AI and big data","HABs models","Epidemiology models","Oceanographic models","Aquaculture threat forecasting","Needs real time communication tools","allows aquaculture industry to be prepared for threats and to move/harvest animals/equipment if necessary","minimize escapees","Helps with MSP","diminish economic loss/damage","Increase  industry awareness of need for adaption","Reduces insurance costs and raises confidence in investment","better seafood safety in case of HABs events-keeps cultured species and people safe","Solutions to address/mitigate threats","Increase decision-makers awareness of need for adaption","Invest in making changes to processing facilities","Increase adaptive management","Plan for changes in markets and consumer preference"
"Funding and planning","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
"Basic science underpinning all of these approaches (e.g., oceanography, modeling, satellite data processing)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"on farms","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
"Bouys","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
"Quantifying and communicating uncertainty and limitations","","","","","","","","","","","1","1","","","1","1","","","","","","","","","","","","","",""
"Uncrewed systems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Space based sensors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Local sensors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Climate impacts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"circulation models","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Monitoring programs","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","",""
"Remote sensing","","","","","","","","","","","0.25","","","","","","1","","","","","","","","","","","","",""
"AI and big data","","","","","","","","","","","1","1","","","","","1","","","","","","","","","","","","",""
"HABs models","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
"Epidemiology models","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
"Oceanographic models","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
"Aquaculture threat forecasting","","","","","","","","","","","","","","","","","","","0.1","0.1","1","0.1","0.1","1","0.1","0.1","0.1","0.1","0.1","0.1"
"Needs real time communication tools","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","",""
"allows aquaculture industry to be prepared for threats and to move/harvest animals/equipment if necessary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"minimize escapees","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Helps with MSP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"diminish economic loss/damage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Increase  industry awareness of need for adaption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Reduces insurance costs and raises confidence in investment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"better seafood safety in case of HABs events-keeps cultured species and people safe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Solutions to address/mitigate threats","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Increase decision-makers awareness of need for adaption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Invest in making changes to processing facilities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Increase adaptive management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1"
"Plan for changes in markets and consumer preference","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
