"","Science workshops","Workshops with industry","Risk assessment model coupled to assessment","Stock assessment or habitat models with climate covariates","physical models with climate projections","Assessment models that explores a scaled Fenv.","report/summary","Visual tools/storytelling/cartoons Media & Visualizations","maps","Climate informed risk assessment outputs","supportive eInfographics and maps to help visualise the concepts and uncertaintieslement 3","summary information by species of biological changes included into traditional advice sheets","Climate conditioned risk advice - ie incorporating the uncertainty associated with climate effects on a fish stock by "buffering" advice. (Science tool to operationlaize climate risk)","Increase decision-makers awareness of need for adaption","Reform system to be more resilient to pre-empted impacts (risk based evidence)","precautionary management","Plan for changes of fishing opportunities","Improve tools for fisheries management including ecological forecasts, climate informed assessments and targets, long term projections","Increase fishing industry awareness of need for adaption","Increase public awareness of need for adaption","Adjust management targets/objectives for management (e.g. reduce yields, reduce acceptable risk, increase precautionary buffers)"
"Science workshops","","","1","1","","1","","","","","","","","","","","","","","",""
"Workshops with industry","","","1","","","","","","","","","","","","","","","","","",""
"Risk assessment model coupled to assessment","","","","","","","","","","1","","","","","","","","","","",""
"Stock assessment or habitat models with climate covariates","","","","","","","","","","1","","","","","","","","","","",""
"physical models with climate projections","","","","1","","","","","1","","","","","","","","","","","",""
"Assessment models that explores a scaled Fenv.","","","","","","","","","","1","","","","","","","","","","",""
"report/summary","","","","","","","","","","","","","0.1","","","","","","","",""
"Visual tools/storytelling/cartoons Media & Visualizations","","","","","","","","","","","","","","","","","","","","",""
"maps","","","","","","","","0.46","","1","","","1","","","","","","","",""
"Climate informed risk assessment outputs","","","","","","","","","","","","","1","","","","","","","",""
"supportive eInfographics and maps to help visualise the concepts and uncertaintieslement 3","","","","","","","","","","","","","1","","","","","","","",""
"summary information by species of biological changes included into traditional advice sheets","","","","","","","","","","","","","0.1","","","","","","","",""
"Climate conditioned risk advice - ie incorporating the uncertainty associated with climate effects on a fish stock by "buffering" advice. (Science tool to operationlaize climate risk)","","","","","","","","","","","","","","1","0.1","1","0.1","0.1","0.1","",""
"Increase decision-makers awareness of need for adaption","","","","","","","","","","","","","","","","","","","","",""
"Reform system to be more resilient to pre-empted impacts (risk based evidence)","","","","","","","","","","","","","","","","","","","","",""
"precautionary management","","","","","","","","","","","","","","","","","","","","",""
"Plan for changes of fishing opportunities","","","","","","","","","","","","","","","","","","","","",""
"Improve tools for fisheries management including ecological forecasts, climate informed assessments and targets, long term projections","","","","","","","","","","","","","","","","","","","","",""
"Increase fishing industry awareness of need for adaption","","","","","","","","","","","","","","","","","","","","",""
"Increase public awareness of need for adaption","","","","","","","","","","","","","","","","","","","","",""
"Adjust management targets/objectives for management (e.g. reduce yields, reduce acceptable risk, increase precautionary buffers)","","","","","","","","","","","","","","","","","","","","",""
