"","management scenarios","stock status data","Science workshops","forecasting models","physical models with climate forecasts","Food web diagram","multi-stakeholder engagement","Policy briefs/report cards/summary","Web-type portal for displaying evidence, sharing data","Media & Visualizations","Infographics and maps to help visualise the concepts and uncertainties","Ecological forecasts and projections","Reform system to be more resilient to pre-empted impacts (risk based evidence)","Improve planning for emergency responses","Plan for changes of fishing opportunities","Improve tools for fisheries management including ecological forecasts, climate informed assessments and targets, long term projections","Increase real time fisheries management","Increase adaptive management","Increase use of spatial-temporal management measures","Ecosystem Based Management (integrated and cross sectoral)","Improve integrated and cross-sectoral considerations in EBFM","Increase decision-makers awareness of need for adaption","Increase fishing industry awareness of need for adaption"
"management scenarios","","","","1","","","","","","","","","","","","","","","","","","",""
"stock status data","","","","1","","","","","","","","","","","","","","","","","","",""
"Science workshops","","","","1","","","","","","","","","","","","","","","","","","",""
"forecasting models","","","","","","","","1","1","1","","","","","","","","","","","","",""
"physical models with climate forecasts","","","","1","","","","","","","","","","","","","","","","","","",""
"Food web diagram","","","","","","","","","","","","","","","","","","","","","","",""
"multi-stakeholder engagement","","","1","","","","","","","","","","","","","","","","","","","",""
"Policy briefs/report cards/summary","","","","","","","1","","","","","","","","","","","","","","","",""
"Web-type portal for displaying evidence, sharing data","","","","","","","","","","","","1","","","","","","","","","","",""
"Media & Visualizations","","","","","","","","","","","","","","","","","","","","","","",""
"Infographics and maps to help visualise the concepts and uncertainties","","","","","","","","","","1","","","","","","","","","","","","",""
"Ecological forecasts and projections","","","","","","","","","","","","","0.1","0.1","0.1","0.1","1","0.1","0.1","0.1","0.1","0.1","0.1"
"Reform system to be more resilient to pre-empted impacts (risk based evidence)","","","","","","","","","","","","","","","","","","","","","","",""
"Improve planning for emergency responses","","","","","","","","","","","","","","","","","","","","","","",""
"Plan for changes of fishing opportunities","","","","","","","","","","","","","","","","","","","","","","",""
"Improve tools for fisheries management including ecological forecasts, climate informed assessments and targets, long term projections","","","","","","","","","","","","","","","","","","","","","","",""
"Increase real time fisheries management","","","","","","","","","","","","","","","","","","","","","","",""
"Increase adaptive management","","","","","","","","","","","","","","","","","","","","","","",""
"Increase use of spatial-temporal management measures","","","","","","","","","","","","","","","","","","","","","","",""
"Ecosystem Based Management (integrated and cross sectoral)","","","","","","","","","","","","","","","","","","","","","","",""
"Improve integrated and cross-sectoral considerations in EBFM","","","","","","","","","","","","","","","","","","","","","","",""
"Increase decision-makers awareness of need for adaption","","","","","","","","","","","","","","","","","","","","","","",""
"Increase fishing industry awareness of need for adaption","","","","","","","","","","","","","","","","","","","","","","",""
