"","survey data","stock assessment models","multispecies models","climate projections","climate models","New integrative modelling framework","multi-stakeholder engagement","communication products about the targets (factsheet, infographic etc)","Integrate targets (e.g. IPCC and IPBES) into models and forecasting (e.g. stock assessments, MSEs)","Plan for changes of fishing opportunities","Increase fishing industry awareness of need for adaption","Adjust management targets/objectives for management (e.g. reduce yields, reduce acceptable risk, increase precautionary buffers)","Ecosystem Based Management (integrated and cross sectoral)","Improve integrated and cross-sectoral considerations in EBFM","Increase decision-makers awareness of need for adaption","Increase public awareness of need for adaption","Increase adaptive management","Reform system to be more resilient to pre-empted impacts (risk based evidence)"
"survey data","","1","1","","","","","","","","","","","","","","",""
"stock assessment models","","","","","","1","","","","","","","","","","","",""
"multispecies models","","","","","","1","","","","","","","","","","","",""
"climate projections","","","","","","1","","","","","","","","","","","",""
"climate models","","","","1","","","","","","","","","","","","","",""
"New integrative modelling framework","","","","","","","1","1","1","","","","","","","","",""
"multi-stakeholder engagement","","","","","","1","","","","","","","","","","","",""
"communication products about the targets (factsheet, infographic etc)","","","","","","","","","","","","","","","","","",""
"Integrate targets (e.g. IPCC and IPBES) into models and forecasting (e.g. stock assessments, MSEs)","","","","","","","","","","1","1","1","0.1","0.1","0.1","0.1","0.1","0.1"
"Plan for changes of fishing opportunities","","","","","","","","","","","","","","","","","",""
"Increase fishing industry awareness of need for adaption","","","","","","","","","","","","","","","","","",""
"Adjust management targets/objectives for management (e.g. reduce yields, reduce acceptable risk, increase precautionary buffers)","","","","","","","","","","","","","","","","","",""
"Ecosystem Based Management (integrated and cross sectoral)","","","","","","","","","","","","","","","","","",""
"Improve integrated and cross-sectoral considerations in EBFM","","","","","","","","","","","","","","","","","",""
"Increase decision-makers awareness of need for adaption","","","","","","","","","","","","","","","","","",""
"Increase public awareness of need for adaption","","","","","","","","","","","","","","","","","",""
"Increase adaptive management","","","","","","","","","","","","","","","","","",""
"Reform system to be more resilient to pre-empted impacts (risk based evidence)","","","","","","","","","","","","","","","","","",""
