"","Biological data to calibrate models","Oceanographic data to calibrate models","Sediment type data","Presence/Absence of species (incl. Phenology)","Behaviour of species","Physiological experiments (bioenergetic info, tolerance)","Tropic relationships","mapping data (habitat suitability)","Climatic projections","Shared Socio-economic Pathways (SSPs)","spatial predictive models","Define the spatial scale needed","Computing power","criteria 4 selection of blue carbon habitat","Species/habitat (specifically blue carbon habitats) distribution maps and projections","Plan for changes of fishing opportunities","Improve tools for fisheries management including ecological forecasts, climate informed assessments and targets, long term projections","Increase fishing industry awareness of need for adaption","Increase decision-makers awareness of need for adaption","Improve planning for emergency responses","Ecosystem Based Management (integrated and cross sectoral)","Increase use of spatial-temporal management measures","Increase real time fisheries management","Diversify opportunities to fish","Increase adaptive management"
"Biological data to calibrate models","","","","","","","","","","","1","","","","","","","","","","","","","",""
"Oceanographic data to calibrate models","","","","","","","","1","","","1","","","","","","","","","","","","","",""
"Sediment type data","","","","","","","","1","","","","","","","","","","","","","","","","",""
"Presence/Absence of species (incl. Phenology)","","","","","","","","1","","","","","","","","","","","","","","","","",""
"Behaviour of species","","","","","","","","","","","","1","","","","","","","","","","","","",""
"Physiological experiments (bioenergetic info, tolerance)","","","","","","","","","","","","1","","","","","","","","","","","","",""
"Tropic relationships","","","","","","","","","","","1","","","","","","","","","","","","","",""
"mapping data (habitat suitability)","","","","","","","","","","","1","","","","","","","","","","","","","",""
"Climatic projections","","","","","","","","","","","1","","","","","","","","","","","","","",""
"Shared Socio-economic Pathways (SSPs)","","","","","","","","","","","1","","","","","","","","","","","","","",""
"spatial predictive models","","","","","","","","","","","","0.42","","","1","","","","","","","","","",""
"Define the spatial scale needed","","","","","","","","","","","","","","","1","","","","","","","","","",""
"Computing power","","","","","","","","","","","1","","","","1","","","","","","","","","",""
"criteria 4 selection of blue carbon habitat","","","","","","","","","","","","","","","1","","","","","","","","","",""
"Species/habitat (specifically blue carbon habitats) distribution maps and projections","","","","","","","","","","","","","","","","1","","1","1","0.1","1","1","1","0.1","0.1"
"Plan for changes of fishing opportunities","","","","","","","","","","","","","","","","","1","","","","","","","",""
"Improve tools for fisheries management including ecological forecasts, climate informed assessments and targets, long term projections","","","","","","","","","","","","","","","","","","","","","","","","",""
"Increase fishing industry awareness of need for adaption","","","","","","","","","","","","","","","","","","","","","","","","",""
"Increase decision-makers awareness of need for adaption","","","","","","","","","","","","","","","","","","","","","","","","",""
"Improve planning for emergency responses","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ecosystem Based Management (integrated and cross sectoral)","","","","","","","","","","","","","","","","","","","","","","","","",""
"Increase use of spatial-temporal management measures","","","","","","","","","","","","","","","","","","","","","","","","",""
"Increase real time fisheries management","","","","","","","","","","","","","","","","","","","","","","","","",""
"Diversify opportunities to fish","","","","","","","","","","","","","","","","","","","","","","","","",""
"Increase adaptive management","","","","","","","","","","","","","","","","","","","","","","","","",""
