"","Environmental projections (Hazards)","Information on fish stocks present","Life history information about species","Socioeconomic data (characterization) of fleets","sensitivity of species to hazards","identification of target species","Input from stakeholders (survey)","Socio-economic info about coastal community","fishing resource tool","Fishing fleet tool (e.g., traffic light abt profitability)","Fisheries dependence tool","Workshops, shiny apps, reports, brochures, etc.","Vulnerability / risk assessments (indicator based approach)","Invest in making changes to ports/shipping facilities","Invest in making changes to processing facilities","Plan for changes in markets and consumer preference","Vessel decommissioning or repurposing","Plan for changes of fishing opportunities","Livelihood diversification of coastal communities","Increase fishing industry awareness of need for adaption","Increase results based management","Diversify opportunities to fish","Reform using local solutions cross-jurisdiction governance issues","Increase decision-makers awareness of need for adaption","Reform system to be more resilient to pre-empted impacts (risk based evidence)"
"Environmental projections (Hazards)","","","","","","","","","1","","","","","","","","","","","","","","","",""
"Information on fish stocks present","","","","","1","","","","","","","","","","","","","","","","","","","",""
"Life history information about species","","","","","1","","","","","","","","","","","","","","","","","","","",""
"Socioeconomic data (characterization) of fleets","","","","","","1","","","","","","","","","","","","","","","","","","",""
"sensitivity of species to hazards","","","","","","","","","1","","","","","","","","","","","","","","","",""
"identification of target species","","","","","","","","","","1","","","","","","","","","","","","","","",""
"Input from stakeholders (survey)","","","","","","1","","","","","","","","","","","","","","","","","","",""
"Socio-economic info about coastal community","","","","","","","","","","","1","","","","","","","","","","","","","",""
"fishing resource tool","","","","","","","","","","","","1","","","","","","","","","","","","",""
"Fishing fleet tool (e.g., traffic light abt profitability)","","","","","","","","","","","1","","","","","","","","","","","","","",""
"Fisheries dependence tool","","","","","","","","","","","","1","","","","","","","","","","","","",""
"Workshops, shiny apps, reports, brochures, etc.","","","","","","","","","","","","","1","","","","","","","","","","","",""
"Vulnerability / risk assessments (indicator based approach)","","","","","","","","","","","","","","1","","","1","","","","1","1","","",""
"Invest in making changes to ports/shipping facilities","","","","","","","","","","","","","","","1","","","","","","","","","",""
"Invest in making changes to processing facilities","","","","","","","","","","","","","","","","1","","","","","","","","",""
"Plan for changes in markets and consumer preference","","","","","","","","","","","","","","","","","","","","","","","","",""
"Vessel decommissioning or repurposing","","","","","","","","","","","","","","","","","","1","1","1","","","","",""
"Plan for changes of fishing opportunities","","","","","","","","","","","","","","","","","","","","","","","","",""
"Livelihood diversification of coastal communities","","","","","","","","","","","","","","","","","","","","","","","","1",""
"Increase fishing industry awareness of need for adaption","","","","","","","","","","","","","","","","","","","","","","","","",""
"Increase results based management","","","","","","","","","","","","","","","","","","","","","","","","",""
"Diversify opportunities to fish","","","","","","","","","","","","","","","","","","","","","","","","",""
"Reform using local solutions cross-jurisdiction governance issues","","","","","","","","","","","","","","","","","","","","","","","","",""
"Increase decision-makers awareness of need for adaption","","","","","","","","","","","","","","","","","","","","","","","1","","1"
"Reform system to be more resilient to pre-empted impacts (risk based evidence)","","","","","","","","","","","","","","","","","","","","","","","","",""
