"","Regional short-term projections of climate covariates","Define spatial scale","Physiological knowledge of species","Biological sampling (time series)","Catch data","Stock size monitoring","Environmental variables monitoring","Downscaling of models","Model calibration","Account for uncertainty","Knowledge on the current state of the stock","Stock assessment [[or habitat]] models with climate covariates","Reform system to be more resilient to pre-empted impacts (risk based evidence)","Reform system to be more responsive to monitoring information (adaptive)","Improve tools for fisheries management including ecological forecasts, climate informed assessments and targets, long term projections","Increase real time fisheries management","Increase adaptive management","Reform system to be more resilient to infrequent but high magnitude impacts","Adjust management targets/objectives for management (e.g. reduce yields, reduce acceptable risk, increase precautionary buffers)","Diversify opportunities to fish","Increase use of spatial-temporal management measures (more temporal as not thinking about habitat)","Plan for changes of fishing opportunities","Increase scientists awareness of need for adaption","Increase fishing industry awareness of need for adaption"
"Regional short-term projections of climate covariates","","","","","","","","1","","","","","","","","","","","","","","","",""
"Define spatial scale","","","","","","","","1","","","","","","","","","","","","","","","",""
"Physiological knowledge of species","","","","","","","","","1","","","","","","","","","","","","","","",""
"Biological sampling (time series)","","","","","","","","","1","","","","","","","","","","","","","","",""
"Catch data","","","","","","","","","1","","","","","","","","","","","","","","",""
"Stock size monitoring","","","","","","","","","","","1","","","","","","","","","","","","",""
"Environmental variables monitoring","","","","","","","","","","","1","","","","","","","","","","","","",""
"Downscaling of models","","","","","","","","","","0.25","","1","","","","","","","","","","","",""
"Model calibration","","","","","","","","","","1","","1","","","","","","","","","","","",""
"Account for uncertainty","","","","","","","","","","","","1","","","","","","","","","","","",""
"Knowledge on the current state of the stock","","","","","","","","","","","","1","","","","","","","","","","","",""
"Stock assessment [[or habitat]] models with climate covariates","","","","","","","","","","","","","1","1","1","1","1","0.1","0.1","0.1","","","0.1","0.1"
"Reform system to be more resilient to pre-empted impacts (risk based evidence)","","","","","","","","","","","","","","","","","","","","","","","",""
"Reform system to be more responsive to monitoring information (adaptive)","","","","","","","","","","","","","","","","","","","","","","","",""
"Improve tools for fisheries management including ecological forecasts, climate informed assessments and targets, long term projections","","","","","","","","","","","","","","","","","","","","","1","1","",""
"Increase real time fisheries management","","","","","","","","","","","","","","0.1","","","","","","","","","",""
"Increase adaptive management","","","","","","","","","","","","","","","","","","","","","","","",""
"Reform system to be more resilient to infrequent but high magnitude impacts","","","","","","","","","","","","","","","","","","","","","","","",""
"Adjust management targets/objectives for management (e.g. reduce yields, reduce acceptable risk, increase precautionary buffers)","","","","","","","","","","","","","","","","","","","","","","","",""
"Diversify opportunities to fish","","","","","","","","","","","","","","","","","","","","","","","",""
"Increase use of spatial-temporal management measures (more temporal as not thinking about habitat)","","","","","","","","","","","","","","","","","","","","","","","",""
"Plan for changes of fishing opportunities","","","","","","","","","","","","","","","","","","","","","","","",""
"Increase scientists awareness of need for adaption","","","","","","","","","","","","","","","","","","","","","","","",""
"Increase fishing industry awareness of need for adaption","","","","","","","","","","","","","","","","","","","","","","","",""
