"","Fisheries independent data","Fisheries data","Multi-species factors","Predator-prey relationships","Physical drivers","productivity info","Env monitoring data","sub-component","stock assessment model","Ecosystem model (progressing to end-to-end)","Relevant Indicator","Fleet dynamics","(Fmsy range and Fenv) Assessment models that explores a scaled Fenv.","Reform system to be more resilient to pre-empted impacts (risk based evidence)","Increase adaptive management","Plan for changes of fishing opportunities","Increase scientists awareness of need for adaption","Increase decision-makers awareness of need for adaption","Increase fishing industry awareness of need for adaption","Adjust management targets/objectives for management (e.g. reduce yields, reduce acceptable risk, increase precautionary buffers)","Reform system to be more responsive to monitoring information (adaptive)"
"Fisheries independent data","","","","","","","","","1","","","","","","","","","","","",""
"Fisheries data","","","","","","","","","1","","","","","","","","","","","",""
"Multi-species factors","","","","","","1","","","","","","","","","","","","","","",""
"Predator-prey relationships","","","","","","1","","","","","","","","","","","","","","",""
"Physical drivers","","","","","","","","","","1","","","","","","","","","","",""
"productivity info","","","","","","","","","","1","","","","","","","","","","",""
"Env monitoring data","","","","","","","","","","","1","","","","","","","","","",""
"sub-component","","","","","","","","","","","1","","","","","","","","","",""
"stock assessment model","","","","","","","","","","","","","1","","","","","","","",""
"Ecosystem model (progressing to end-to-end)","","","","","","","","","0.25","","","","1","","","","","","","",""
"Relevant Indicator","","","","","","","","","","1","","","1","","","","","","","",""
"Fleet dynamics","","","","","","","","","1","1","","","","","","","","","","",""
"(Fmsy range and Fenv) Assessment models that explores a scaled Fenv.","","","","","","","","","","","","","","1","1","1","1","1","1","0.1","0.1"
"Reform system to be more resilient to pre-empted impacts (risk based evidence)","","","","","","","","","","","","","","","","","","","","",""
"Increase adaptive management","","","","","","","","","","","","","","","","","","","","",""
"Plan for changes of fishing opportunities","","","","","","","","","","","","","","","","","","","","",""
"Increase scientists awareness of need for adaption","","","","","","","","","","","","","","","","","","","","",""
"Increase decision-makers awareness of need for adaption","","","","","","","","","","","","","","","","","","","","",""
"Increase fishing industry awareness of need for adaption","","","","","","","","","","","","","","","","","","","","",""
"Adjust management targets/objectives for management (e.g. reduce yields, reduce acceptable risk, increase precautionary buffers)","","","","","","","","","","","","","","","","","","","","",""
"Reform system to be more responsive to monitoring information (adaptive)","","","","","","","","","","","","","","","","","","","","",""
