"","Understanding diversity of communities, equitable engagement","Stakeholder engagement and co-production of knowledge","Experiential knowledge","EMPIRICAL DATA (environmental, biological, ecological, social and economic)","sensitivity analyses","Data from external modelling e.g. NPP","short time series with no mechanistic understanding","Mechanistic understanding","long time series data","Qualitative Network models","Quantitative models","MSE","social-ecological MSE","Scenario scoping/ exploration","Improve equity/agency in management and decision making","Reform system to be more responsive to monitoring information (adaptive)","Ecosystem Based Management (integrated and cross sectoral)","Increase adaptive management","Increase real time fisheries management","Improve integrated and cross-sectoral considerations in EBFM","Increase use of spatial-temporal management measures","Adjust management targets/objectives for management (e.g. reduce yields, reduce acceptable risk, increase precautionary buffers)","Plan for changes of fishing opportunities","Improve tools for fisheries management including ecological forecasts, climate informed assessments and targets, long term projections","Plan for changes in markets and consumer preference","Increase scientists and stakeholder awareness of need for adaption","Increase decision-makers awareness of need for adaption","Increase fishing industry awareness of need for adaption","Increase public awareness of need for adaption"
"Understanding diversity of communities, equitable engagement","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Stakeholder engagement and co-production of knowledge","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","",""
"Experiential knowledge","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
"EMPIRICAL DATA (environmental, biological, ecological, social and economic)","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
"sensitivity analyses","","","","","","","1","","","1","","","1","","","","","","","","","","","","","","","",""
"Data from external modelling e.g. NPP","","","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
"short time series with no mechanistic understanding","","","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
"Mechanistic understanding","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
"long time series data","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
"Qualitative Network models","","","","","","","","","","","0.25","","0.25","1","","","","","","","","","","","","","","",""
"Quantitative models","","","","","","","","","","0.25","","","0.25","1","","","","","","","","","","","","","","",""
"MSE","","","","","","","","","","","","","0.25","1","","","","","","","","","","","","","","",""
"social-ecological MSE","","","","","","","","","","","","","","1","","","","","","","","","","","","","","",""
"Scenario scoping/ exploration","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1"
"Improve equity/agency in management and decision making","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Reform system to be more responsive to monitoring information (adaptive)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ecosystem Based Management (integrated and cross sectoral)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Increase adaptive management","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Increase real time fisheries management","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Improve integrated and cross-sectoral considerations in EBFM","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Increase use of spatial-temporal management measures","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Adjust management targets/objectives for management (e.g. reduce yields, reduce acceptable risk, increase precautionary buffers)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Plan for changes of fishing opportunities","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Improve tools for fisheries management including ecological forecasts, climate informed assessments and targets, long term projections","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Plan for changes in markets and consumer preference","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Increase scientists and stakeholder awareness of need for adaption","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Increase decision-makers awareness of need for adaption","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Increase fishing industry awareness of need for adaption","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Increase public awareness of need for adaption","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
