"","current governance information","life history information","oceanographic and biotic connectivity","EBSA Criteria info","Monitoring and reevaluation Plan","fleet behavior","Understanding of existing governance structures","Data and info on nature and extent of all human activities","Stakeholder engagement","Equitable engagement, clarity on diversity X and within sectors","Existing monitoring and evaluation","Potential for spillover, population recovery/ stability","clear objectives!","Planning for ongoing monitoring and evaluation of progress to achieving objectives","vulnerability and IEA assessments","Exposure/ pressure maps  (HUMAN ACTIVITIES)","species distribution maps","MPA networks and OECMs","evaluation for adaptive management (for example seasonal versus long-term MPA)","Reform of high level cross-jurisdiction governance and agreements (e.g. UN Fish stocks agreement)","Reform system to be more resilient to pre-empted impacts (risk based evidence)","Reform system to be more resilient to infrequent but high magnitude impacts","Increase use of spatial-temporal management measures","Improve integrated and cross-sectoral considerations in EBFM","Ecosystem Based Management (integrated and cross sectoral)","Increase results based management","evaluation of MPAs versus other management measures","Increase decision-makers awareness of need for adaption","Increase fishing industry awareness of need for adaption","Increase public awareness of need for adaption"
"current governance information","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","",""
"life history information","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","",""
"oceanographic and biotic connectivity","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"EBSA Criteria info","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Monitoring and reevaluation Plan","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","",""
"fleet behavior","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","",""
"Understanding of existing governance structures","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","",""
"Data and info on nature and extent of all human activities","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
"Stakeholder engagement","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","",""
"Equitable engagement, clarity on diversity X and within sectors","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Existing monitoring and evaluation","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
"Potential for spillover, population recovery/ stability","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","",""
"clear objectives!","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","",""
"Planning for ongoing monitoring and evaluation of progress to achieving objectives","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","",""
"vulnerability and IEA assessments","","","","","","","","","","","","","","","","","0.25","1","","","","","","","","","","","",""
"Exposure/ pressure maps  (HUMAN ACTIVITIES)","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","",""
"species distribution maps","","","","","","","","","","","","","","","0.25","","","1","","","","","","","","","","","",""
"MPA networks and OECMs","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1"
"evaluation for adaptive management (for example seasonal versus long-term MPA)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Reform of high level cross-jurisdiction governance and agreements (e.g. UN Fish stocks agreement)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Reform system to be more resilient to pre-empted impacts (risk based evidence)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Reform system to be more resilient to infrequent but high magnitude impacts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Increase use of spatial-temporal management measures","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Improve integrated and cross-sectoral considerations in EBFM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ecosystem Based Management (integrated and cross sectoral)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Increase results based management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"evaluation of MPAs versus other management measures","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Increase decision-makers awareness of need for adaption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Increase fishing industry awareness of need for adaption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Increase public awareness of need for adaption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
