"","Estimates of risk of below average recruitment, higher natural mortality due to increased natural predation","Data: predator abundance, forecast of conditions affecting recruitment survival, in season satellite data","Essential Habitats characterization and mapping","citizen science (rapid)","mapping pressures","key species/ habitat indicator monitoring (rapid)","understanding of pressures -ecosystem components linkages","ecosystem monitoring programme","ecosystem state indicators","ecosystem models","fishery dependence estimates","multiple knowledge sources","Producer adaptability evaluation","Market data","Estimates of short term life history parameter changes","Ecosystem impact assessment","Social and economic dependencies (eg livelihoods)","multistakeholder, participatory workshops","communication and education about changes in buffer (e.g., climate shocks)","social-cultural importance","Precautionary buffers to fishing quotas","Reform system to be more resilient to infrequent but high magnitude impacts","Improve/avoid planning for emergency responses","Reform system to be more resilient to pre-empted impacts (risk based evidence)","Adjust management targets/objectives for management (e.g. reduce yields, reduce acceptable risk, increase precautionary buffers)","Plan to adapt supply chain to changes in catch composition/amount","Improve tools for fisheries management including ecological forecasts, climate informed assessments and targets, long term projections","Ecosystem Based Management (integrated and cross sectoral)","Improve equity/agency in management and decision making","Plan for changes of fishing opportunities"
"Estimates of risk of below average recruitment, higher natural mortality due to increased natural predation","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","",""
"Data: predator abundance, forecast of conditions affecting recruitment survival, in season satellite data","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","",""
"Essential Habitats characterization and mapping","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
"citizen science (rapid)","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
"mapping pressures","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
"key species/ habitat indicator monitoring (rapid)","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
"understanding of pressures -ecosystem components linkages","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"ecosystem monitoring programme","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"ecosystem state indicators","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
"ecosystem models","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
"fishery dependence estimates","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","",""
"multiple knowledge sources","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","",""
"Producer adaptability evaluation","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","",""
"Market data","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","",""
"Estimates of short term life history parameter changes","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",""
"Ecosystem impact assessment","","","","","","","","","","","","","","","0.25","","","","","","1","","","","","","","","",""
"Social and economic dependencies (eg livelihoods)","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","",""
"multistakeholder, participatory workshops","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","",""
"communication and education about changes in buffer (e.g., climate shocks)","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",""
"social-cultural importance","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","",""
"Precautionary buffers to fishing quotas","","","","","","","","","","","","","","","","1","","","","","","1","","1","","1","1","1","","1"
"Reform system to be more resilient to infrequent but high magnitude impacts","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","",""
"Improve/avoid planning for emergency responses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Reform system to be more resilient to pre-empted impacts (risk based evidence)","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","",""
"Adjust management targets/objectives for management (e.g. reduce yields, reduce acceptable risk, increase precautionary buffers)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Plan to adapt supply chain to changes in catch composition/amount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Improve tools for fisheries management including ecological forecasts, climate informed assessments and targets, long term projections","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ecosystem Based Management (integrated and cross sectoral)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1",""
"Improve equity/agency in management and decision making","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Plan for changes of fishing opportunities","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","",""
