"","Vessel type/Trip patterns/skipper effect","sedimentary carbon impact store","capture to quay","blue carbon impact store","energy auditing","data collection on fuel vessel consumption...","Mapping fisheries spatially","Vulnerability/sensitivity/exposure","fish stock carbon store modeling","Trawling impact","emissions for processing, transport, refrigeration,...","interactive carbon tool","data base with supply chain description for landings","world bank data on trade","Traceability/monitoring/surveillance","international agreement on methods and standards http://detailedcapturecarbontool.seafish.org/","public awareness campaign","baseline fleet emissions (by gear)","carbon-storing habitat maps","sediment carbon assessment","Carbon impact of removal of fish biomass","scoring /audit companies","supply chain assessment","Fisheries  carbon footprint labeling / certification","Supply chain   carbon footprint labeling / certification","Quota (re)allocation","Invest in gear development","Increase fishing industry awareness of need for adaption","Increase use of spatial-temporal management measures","Use stock movement maps to help avoid increased fuel use due to shifting stocks (and penalize it by removing certification)","Increase adaptation efficacy through reduced emissions","Prepare for changes in markets and consumer preference","Develop international partnerships for  interoperable traceability systems across supply chains","Improve integrated and cross-sectoral considerations in EBFM","Improve equity/agency in management and decision making","Increase public awareness of need for adaption","Invest in making changes to processing facilities"
"Vessel type/Trip patterns/skipper effect","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
"sedimentary carbon impact store","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
"capture to quay","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
"blue carbon impact store","","","1","","","","","","","0.25","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"energy auditing","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
"data collection on fuel vessel consumption...","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
"Mapping fisheries spatially","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Vulnerability/sensitivity/exposure","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fish stock carbon store modeling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Trawling impact","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
"emissions for processing, transport, refrigeration,...","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","",""
"interactive carbon tool","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"data base with supply chain description for landings","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
"world bank data on trade","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
"Traceability/monitoring/surveillance","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
"international agreement on methods and standards http://detailedcapturecarbontool.seafish.org/","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
"public awareness campaign","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
"baseline fleet emissions (by gear)","","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","",""
"carbon-storing habitat maps","","","","0.25","","","","","","","","","","","","","","0.25","","","","","","1","","","","","","","","","","","","",""
"sediment carbon assessment","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","",""
"Carbon impact of removal of fish biomass","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
"scoring /audit companies","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","",""
"supply chain assessment","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
"Fisheries  carbon footprint labeling / certification","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","","0.1","","","","","","0.1"
"Supply chain   carbon footprint labeling / certification","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","1","1","1","1",""
"Quota (re)allocation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Invest in gear development","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Increase fishing industry awareness of need for adaption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Increase use of spatial-temporal management measures","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Use stock movement maps to help avoid increased fuel use due to shifting stocks (and penalize it by removing certification)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Increase adaptation efficacy through reduced emissions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prepare for changes in markets and consumer preference","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Develop international partnerships for  interoperable traceability systems across supply chains","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Improve integrated and cross-sectoral considerations in EBFM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Improve equity/agency in management and decision making","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Increase public awareness of need for adaption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Invest in making changes to processing facilities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
