"Group","Label","Category","category","likelihood","magnitude","likelihoodSE","magnitudeSE","likelihoodSD","magnitudeSD","mnConf","mntimeframe","likelihoodCV","magnitudeCV","cat_wrap","ylower","yupper","xlower","xupper","confidence","uncertainty","Sector2","focus"
"Fisheries","Fisheries:  Approaches to fisheries management","Approaches to fisheries management","Adjust management targets/objectives for management (e.g. reduce yields, reduce acceptable risk, increase precautionary buffers) ",7.76470588235294,8.17647058823529,0.315406038081283,0.311958874052889,1.30045240996671,1.28623938856882,3.38235294117647,1.44117647058824,16.7482507344198,15.7309853278201,"Adjust management targets/
objectives for management
(e.g. reduce yields, reduce
acceptable risk, increase
precautionary buffers)",7.14966410809444,8.37974765661144,7.56815078383216,8.78479039263843,3.38235294117647,0.295652173913043,"Fisheries Adaptation","Fisheries"
"Fisheries","Fisheries:  Approaches to fisheries management","Approaches to fisheries management","Diversify opportunities to fish ",6.47058823529412,7.05882352941176,0.470588235294118,0.481041977464592,1.94028500029066,1.9833868834425,3.15625,1.79411764705882,29.9862227317648,28.0979808487688,"Diversify opportunities to
fish",5.55294117647059,7.38823529411765,6.12079167335581,7.99685538546772,3.15625,0.316831683168317,"Fisheries Adaptation","Fisheries"
"Fisheries","Fisheries:  Approaches to fisheries management","Approaches to fisheries management","Ecosystem Based Management (integrated and cross sectoral) ",6.23529411764706,7.52941176470588,0.315406038081283,0.228769840972118,1.30045240996671,0.943242218283799,3.25,1.85294117647059,20.8563122353152,12.5274357115817,"Ecosystem Based Management
(integrated and cross
sectoral)",5.62025234338856,6.85033589190556,7.08331057481025,7.97551295460151,3.25,0.307692307692308,"Fisheries Adaptation","Fisheries"
"Fisheries","Fisheries:  Approaches to fisheries management","Approaches to fisheries management","Improve integrated and cross-sectoral considerations in EBFM ",5.64705882352941,7.0625,0.419568900520209,0.232177195262584,1.72992689406909,0.928708781050335,3,1.90992647058824,30.6341220824735,13.1498588467304,"Improve integrated and cross-
sectoral considerations in
EBFM",4.828899467515,6.46521817954382,6.60975446923796,7.51524553076204,3,0.333333333333333,"Fisheries Adaptation","Fisheries"
"Fisheries","Fisheries:  Approaches to fisheries management","Approaches to fisheries management","Increase adaptive management ",6.58823529411765,7.70588235294118,0.420598519002209,0.253862889729883,1.73417211982446,1.04670350878084,3.00183823529412,1.94117647058824,26.3222553901927,13.5831753047895,"Increase adaptive management",5.76806818206334,7.40840240617195,7.2108497179679,8.20091498791445,3.00183823529412,0.333129210042866,"Fisheries Adaptation","Fisheries"
"Fisheries","Fisheries:  Approaches to fisheries management","Approaches to fisheries management","Increase real time fisheries management ",6.17647058823529,7.82352941176471,0.430759368114024,0.230652752078796,1.77606637395844,0.951005659660279,3.2047619047619,1.88235294117647,28.7553603402795,12.1557114392667,"Increase real time fisheries
management",5.33648982041295,7.01645135605764,7.37375654521105,8.27330227831836,3.2047619047619,0.312035661218425,"Fisheries Adaptation","Fisheries"
"Fisheries","Fisheries:  Approaches to fisheries management","Approaches to fisheries management","Increase results based management ",5.23529411764706,6.64705882352941,0.465969985816319,0.401661773051402,1.92124346988825,1.6560939160638,2.78571428571429,1.94117647058824,36.6979089753935,24.9146872328182,"Increase results based
management",4.32665264530524,6.14393558998888,5.86381836607918,7.43029928097965,2.78571428571429,0.358974358974359,"Fisheries Adaptation","Fisheries"
"Fisheries","Fisheries:  Approaches to fisheries management","Approaches to fisheries management","Increase use of spatial-temporal management measures ",7.64705882352941,7.88235294117647,0.39240188423901,0.282873295024579,1.61791441640883,1.16631647405284,3.45416666666667,1.58823529411765,21.1573423684232,14.79655228276,"Increase use of spatial-
temporal management measures",6.88187514926334,8.41224249779548,7.33075001587854,8.4339558664744,3.45416666666667,0.289505428226779,"Fisheries Adaptation","Fisheries"
"Fisheries","Fisheries:  Capacity building/capacity reduction","Capacity building/capacity reduction","Increase decision-makers awareness of need for adaption ",7.52941176470588,8.58823529411765,0.344255879727048,0.285157638671549,1.41940335435455,1.17573506419451,3.13333333333333,1.42647058823529,18.8514508000213,13.6900658159635,"Increase decision-makers
awareness of need for adaption",6.85811279923814,8.20071073017363,8.03217789870813,9.14429268952717,3.13333333333333,0.319148936170213,"Fisheries Adaptation","Fisheries"
"Fisheries","Fisheries:  Capacity building/capacity reduction","Capacity building/capacity reduction","Increase fishing industry awareness of need for adaption ",6.875,7.125,0.576447453517375,0.576447453517375,2.3057898140695,2.3057898140695,3.3,1.42083333333333,33.53876093192,32.3619623027298,"Increase fishing industry
awareness of need for adaption",5.75092746564112,7.99907253435888,6.00092746564112,8.24907253435888,3.3,0.303030303030303,"Fisheries Adaptation","Fisheries"
