Source,Target,Value
1,15,1
2,15,1
3,15,1
4,15,1
5,16,1
1,16,1
6,16,1
2,16,1
3,16,1
4,16,1
7,16,1
8,16,1
9,16,1
7,17,1
5,17,1
1,17,1
6,17,1
10,17,1
2,17,1
3,17,1
11,17,1
12,17,1
12,18,1
7,18,1
13,18,1
5,19,1
6,19,1
2,19,1
4,19,1
4,19,1
1,19,1
10,19,1
9,19,1
8,19,1
2,20,1
5,20,1
7,20,1
8,20,1
3,20,1
10,21,1
1,21,1
6,21,1
5,21,1
10,22,1
5,22,1
6,22,1
1,22,1
10,23,1
1,23,1
6,23,1
5,23,1
10,24,1
1,24,1
7,24,1
6,24,1
5,24,1
5,25,1
6,25,1
7,26,1
14,26,1
10,27,1
1,27,1
6,27,1
5,27,1
14,28,1
4,28,1
10,28,1
1,28,1
3,28,1
15,32,1
15,33,1
15,35,1
15,36,1
15,38,1
15,40,1
15,45,1
15,33,3
15,48,1
15,49,1
16,41,3
16,33,2
16,35,1
16,38,1
16,45,1
16,33,1
16,47,1
16,49,2
17,30,1
17,32,1
17,33,3
17,40,1
17,43,1
17,45,1
17,48,1
17,49,1
18,32,1
18,33,5
18,34,7
18,35,2
18,39,2
18,40,1
18,46,1
18,47,1
18,48,1
19,32,1
19,33,5
19,35,1
19,38,2
19,40,2
19,42,1
19,45,1
19,47,2
19,48,1
19,51,2
20,32,4
20,33,2
20,34,1
20,35,1
20,36,1
20,37,2
20,39,1
20,40,2
20,45,1
21,33,1
21,34,1
21,35,2
21,36,2
21,39,1
21,47,2
21,48,1
21,50,1
22,31,4
22,32,1
22,33,2
22,35,2
22,37,2
22,39,1
22,40,1
22,42,2
22,44,1
22,48,1
22,50,3
23,29,1
23,33,1
23,35,2
23,36,2
23,39,1
23,47,2
23,48,1
23,50,1
24,29,1
24,33,1
24,35,2
24,36,2
24,39,1
24,47,2
24,48,1
24,50,1
25,35,1
25,35,1
25,36,1
25,48,1
26,32,1
26,33,3
26,34,9
26,35,1
26,39,2
26,40,1
26,47,1
27,29,1
27,33,1
27,35,3
27,36,1
27,37,1
27,39,1
27,42,1
27,47,4
27,48,1
28,33,2
28,35,2
28,38,1
28,39,1
28,47,2
28,48,2
