Source,Target,Value
1,14,1
2,14,1
3,14,1
4,15,1
5,15,1
6,15,1
7,15,1
8,15,1
9,15,1
10,15,1
11,15,1
12,15,1
6,16,1
4,16,1
2,16,1
11,16,1
7,16,1
10,17,1
9,17,1
5,17,1
4,17,1
10,18,1
4,18,1
5,18,1
9,18,1
10,19,1
9,19,1
5,19,1
4,19,1
10,20,1
9,20,1
2,20,1
5,20,1
4,20,1
4,21,1
5,21,1
2,22,1
13,22,1
10,23,1
9,23,1
5,23,1
4,23,1
11,24,1
2,24,1
13,25,1
8,25,1
10,25,1
9,25,1
7,25,1
14,26,1
14,27,5
14,28,7
14,29,2
14,30,2
14,31,1
14,32,1
14,33,1
14,34,1
15,26,1
15,27,5
15,29,1
15,35,2
15,31,2
15,36,1
15,37,1
15,33,2
15,34,1
15,38,2
16,26,4
16,27,2
16,28,1
16,29,1
16,39,1
16,40,2
16,30,1
16,31,2
16,37,1
17,27,1
17,28,1
17,29,2
17,39,2
17,30,1
17,33,2
17,34,1
17,41,1
18,42,4
18,26,1
18,27,2
18,29,2
18,40,2
18,30,1
18,31,1
18,36,2
18,43,1
18,34,1
18,41,3
19,44,1
19,27,1
19,29,2
19,39,2
19,30,1
19,33,2
19,34,1
19,41,1
20,44,1
20,27,1
20,29,2
20,39,2
20,30,1
20,33,2
20,34,1
20,41,1
21,29,2
21,39,1
21,34,1
22,26,1
22,27,3
22,28,9
22,29,1
22,30,2
22,31,1
22,33,1
23,44,1
23,27,1
23,29,3
23,39,1
23,40,1
23,30,1
23,36,1
23,33,4
23,34,1
24,31,1
25,27,2
25,29,2
25,35,1
25,30,1
25,33,2
25,34,2
