Source,Target,Value
1,15,1
2,15,1
3,15,1
4,15,1
5,16,1
1,16,1
6,16,1
2,16,1
3,16,1
4,16,1
7,16,1
8,16,1
9,16,1
7,17,1
5,17,1
1,17,1
6,17,1
10,17,1
2,17,1
3,17,1
11,17,1
12,17,1
12,18,1
7,18,1
13,18,1
5,19,1
6,19,1
2,19,1
3,19,1
4,19,1
1,19,1
10,19,1
9,19,1
8,19,1
10,20,1
1,20,1
6,20,1
5,20,1
10,21,1
5,21,1
6,21,1
1,21,1
10,22,1
1,22,1
6,22,1
5,22,1
10,23,1
1,23,1
7,23,1
6,23,1
5,23,1
5,24,1
6,24,1
7,25,1
14,25,1
10,26,1
1,26,1
6,26,1
5,26,1
14,27,1
4,27,1
10,27,1
1,27,1
3,27,1
15,31,1
15,32,1
15,34,1
15,35,1
15,37,1
15,39,1
15,44,1
15,32,3
15,47,1
15,48,1
16,40,3
16,32,2
16,34,1
16,37,1
16,44,1
16,32,1
16,46,1
16,48,2
17,29,1
17,31,1
17,32,3
17,39,1
17,42,1
17,44,1
17,47,1
17,48,1
18,31,1
18,32,4
18,33,7
18,34,2
18,38,2
18,39,1
18,45,1
18,46,1
18,47,1
19,31,1
19,32,5
19,34,1
19,37,2
19,39,2
19,41,1
19,44,1
19,46,2
19,47,1
19,50,2
20,32,1
20,33,1
20,34,2
20,35,2
20,38,1
20,46,2
20,47,1
20,49,1
21,30,4
21,31,1
21,32,2
21,34,2
21,36,2
21,38,1
21,39,1
21,41,2
21,43,1
21,47,1
21,49,3
22,28,1
22,32,1
22,34,2
22,35,2
22,38,1
22,46,2
22,47,1
22,49,1
23,28,1
23,32,1
23,34,2
23,35,2
23,38,1
23,46,2
23,47,1
23,49,1
24,34,1
24,34,1
24,35,1
24,47,1
25,31,1
25,32,3
25,33,8
25,35,1
25,34,1
25,38,2
25,39,1
25,46,1
26,28,1
26,32,1
26,34,3
26,35,1
26,36,1
26,38,1
26,41,1
26,46,4
26,47,1
27,32,2
27,34,2
27,37,1
27,38,1
27,46,2
27,47,2
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
